YEAR,NAME,TEAM,AVG,G,PA,AB,R,H,D,T,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH_BA,TBPI
2015,테임즈,NC,0.381,142,595,472,130,180,42,5,47,373,140,0,7,103,11,13,91,7,0.79,0.497,1.287,52,0.31,0.0,1.064898
2015,박병호,넥센,0.343,140,622,528,129,181,35,1,53,377,146,0,4,78,6,12,161,10,0.714,0.436,1.15,50,0.375,0.0,0.9821512
2016,최형우,삼성,0.376,138,618,519,99,195,46,2,31,338,144,0,7,83,8,9,83,12,0.651,0.464,1.115,58,0.38,0.0,0.9068316
2020,로하스,KT,0.349,142,628,550,116,192,39,1,47,374,135,0,8,65,5,5,132,11,0.68,0.417,1.097,58,0.351,0.0,0.8883921
2003,심정수,현대,0.335,133,601,460,110,154,16,1,53,331,142,0,8,124,17,9,63,14,0.72,0.478,1.198,45,0.346,0.0,0.87089604
2002,이승엽,삼성,0.323,133,617,511,123,165,42,2,47,352,126,0,2,89,5,15,109,11,0.689,0.436,1.125,47,0.331,0.0,0.8334637
2016,김태균,한화,0.365,144,652,529,94,193,39,0,23,301,136,0,6,108,10,9,97,11,0.569,0.475,1.044,60,0.417,0.0,0.79036736
2014,강정호,넥센,0.356,117,501,418,103,149,36,2,40,309,117,0,2,68,2,13,106,8,0.739,0.459,1.198,50,0.361,0.0,0.7865796
2015,유한준,넥센,0.362,139,598,520,103,188,42,1,23,301,116,1,8,67,2,2,71,13,0.579,0.43,1.009,62,0.395,1.0,0.7584914
2018,김재환,두산,0.334,139,602,527,104,176,36,1,44,346,133,0,7,59,4,9,134,6,0.657,0.405,1.062,51,0.295,1.0,0.7502723
2003,이승엽,삼성,0.301,131,596,479,115,144,23,0,56,335,144,0,6,101,9,10,89,11,0.699,0.428,1.127,41,0.346,0.0,0.7500117
2020,최형우,KIA,0.354,140,600,522,93,185,37,1,28,308,115,0,3,70,5,5,101,9,0.59,0.433,1.023,55,0.374,1.0,0.72921586
2010,이대호,롯데,0.364,127,552,478,99,174,13,0,44,319,133,0,3,61,6,10,77,15,0.667,0.444,1.111,51,0.426,0.0,0.71352077
2014,박병호,넥센,0.303,128,571,459,126,139,16,2,52,315,124,0,4,96,3,12,142,13,0.686,0.433,1.119,39,0.292,1.0,0.69779754
2020,나성범,NC,0.324,130,584,525,115,170,37,2,34,313,112,0,1,49,2,9,148,6,0.596,0.39,0.986,53,0.338,1.0,0.69495964
2017,김재환,두산,0.34,144,636,544,110,185,34,2,35,328,115,0,4,81,10,7,123,8,0.603,0.429,1.032,56,0.342,0.0,0.6916696
2014,서건창,넥센,0.37,128,616,543,135,201,41,17,7,297,67,4,2,59,0,8,47,1,0.547,0.438,0.985,66,0.39,0.0,0.6906611
2017,최형우,KIA,0.342,142,629,514,98,176,36,3,26,296,120,0,8,96,8,11,82,15,0.576,0.45,1.026,54,0.368,0.0,0.6835642
2018,러프,삼성,0.33,137,597,506,97,167,32,4,33,306,125,0,8,65,0,18,107,17,0.605,0.419,1.024,52,0.366,0.0,0.6720803
2016,김재환,두산,0.325,134,568,492,107,160,32,3,37,309,124,0,5,71,3,0,107,9,0.628,0.407,1.035,48,0.313,0.8,0.65793407
2015,나성범,NC,0.326,144,622,564,112,184,34,5,28,312,135,3,8,32,1,15,127,9,0.553,0.373,0.926,57,0.367,0.5,0.6566901
2022,이정후,키움,0.349,142,627,553,85,193,36,10,23,318,113,0,3,66,12,5,32,10,0.575,0.421,0.996,58,0.387,0.333,0.6448958
2022,피렐라,삼성,0.342,141,630,561,102,192,33,4,28,317,109,0,2,55,12,12,81,19,0.565,0.411,0.976,57,0.375,0.0,0.6391233
2014,테임즈,NC,0.343,125,514,443,95,152,30,6,37,305,121,0,6,58,5,7,99,6,0.688,0.422,1.11,40,0.388,0.5,0.63820416
2004,브룸바,현대,0.343,132,594,475,92,163,25,1,33,289,105,0,4,114,10,1,79,10,0.608,0.468,1.076,49,0.363,0.0,0.6274916
2018,손아섭,롯데,0.329,141,625,553,109,182,32,5,26,302,93,1,1,68,1,2,99,15,0.546,0.404,0.95,55,0.36,0.333,0.62666243
2016,테임즈,NC,0.321,123,529,436,118,140,30,3,40,296,121,0,7,74,6,12,103,2,0.679,0.427,1.106,45,0.304,1.0,0.61995876
2018,전준우,롯데,0.342,144,614,556,118,190,36,2,33,329,90,1,2,48,1,7,82,12,0.592,0.4,0.992,59,0.379,0.3,0.61885285
2002,심정수,현대,0.321,133,577,502,101,161,22,1,46,323,119,0,3,69,10,3,114,13,0.643,0.404,1.047,47,0.338,0.0,0.6093079
2018,박병호,넥센,0.345,113,488,400,88,138,20,0,43,287,112,0,3,68,10,17,114,9,0.718,0.457,1.175,46,0.312,0.333,0.6030636
2018,로하스,KT,0.305,144,645,564,114,172,30,1,43,333,114,1,2,71,4,7,142,10,0.59,0.388,0.978,50,0.322,0.0,0.59713906
2011,이대호,롯데,0.357,133,570,493,76,176,26,1,27,285,113,0,6,63,8,8,60,22,0.578,0.433,1.011,58,0.385,0.0,0.58963597
2018,최형우,KIA,0.339,143,609,528,92,179,34,1,25,290,103,0,8,66,7,7,87,17,0.549,0.414,0.963,47,0.342,1.0,0.5890374
2011,최형우,삼성,0.34,133,571,480,80,163,37,3,30,296,118,0,10,76,15,5,88,8,0.617,0.427,1.044,48,0.35,0.0,0.5850587
2016,김주찬,KIA,0.346,130,555,511,97,177,37,3,23,289,101,1,6,30,1,7,68,13,0.566,0.386,0.952,54,0.421,1.0,0.5835129
2009,김현수,두산,0.357,133,572,482,97,172,31,6,23,284,104,0,6,80,5,4,59,7,0.589,0.448,1.037,52,0.354,0.0,0.5769619
2017,로사리오,한화,0.339,119,510,445,100,151,30,1,37,294,111,0,5,50,4,10,61,12,0.661,0.414,1.075,44,0.373,0.5,0.5579381
2018,이대호,롯데,0.333,144,604,543,81,181,30,0,37,322,125,0,4,43,7,14,75,18,0.593,0.394,0.987,55,0.307,0.444,0.5556219
2017,나성범,NC,0.347,125,561,498,103,173,42,2,24,291,99,0,3,48,10,12,116,8,0.584,0.415,0.999,53,0.345,0.0,0.5543539
2015,나바로,삼성,0.287,140,643,534,126,153,19,1,48,318,137,1,9,93,8,6,72,10,0.596,0.393,0.989,41,0.271,0.0,0.5473399
2015,아두치,롯데,0.314,132,594,526,105,165,34,5,28,293,106,1,4,55,8,8,118,9,0.557,0.384,0.941,45,0.354,0.75,0.5435862
2017,러프,삼성,0.315,134,591,515,90,162,38,0,31,293,124,0,4,60,4,12,107,14,0.569,0.396,0.965,46,0.379,0.0,0.542947
2010,홍성흔,롯데,0.35,111,498,431,88,151,28,1,26,259,116,1,5,54,3,7,49,18,0.601,0.427,1.028,54,0.438,0.0,0.5369929
2017,최정,SK,0.316,130,527,430,89,136,18,1,46,294,113,0,8,70,10,19,107,8,0.684,0.427,1.111,34,0.388,0.0,0.5345347
2015,김현수,두산,0.326,141,630,512,103,167,26,0,28,277,121,0,9,101,12,8,63,13,0.541,0.438,0.979,50,0.333,0.0,0.5317963
2017,구자욱,삼성,0.31,144,647,564,108,175,39,10,21,297,107,0,10,63,1,10,138,1,0.527,0.383,0.91,48,0.352,0.0,0.53073204
2015,최형우,삼성,0.318,144,637,547,94,174,33,1,33,308,123,0,8,73,7,9,101,13,0.563,0.402,0.965,46,0.302,0.0,0.52117777
2017,박건우,두산,0.366,131,543,483,91,177,40,2,20,281,78,5,4,41,2,10,64,15,0.582,0.424,1.006,56,0.353,0.25,0.5205899
2009,박용택,LG,0.372,111,506,452,91,168,31,5,18,263,74,3,9,36,2,6,63,15,0.582,0.417,0.999,51,0.402,1.0,0.5141991
2002,마해영,삼성,0.323,133,596,532,92,172,40,2,33,315,116,0,6,46,5,12,74,14,0.592,0.386,0.978,53,0.313,0.0,0.5140928
2018,최주환,두산,0.333,138,590,519,87,173,39,6,26,302,108,0,10,51,1,10,89,5,0.582,0.397,0.979,50,0.368,0.25,0.51305014
2021,강백호,KT,0.347,142,627,516,76,179,40,1,16,269,102,0,8,103,10,0,85,7,0.521,0.45,0.971,53,0.34,0.0,0.50305843
